website,full_name,full_bio,age,hometown,education,experience,photo_url
http://aaphc.org/services/behavioral-health/meet-our-providers,"Hall, Catherine, MSN, APRN, PMHNP-BC","Behavioral Health AAPHC Renaissance Center Albany, GA (Dougherty) Read more ...",,"Albany, GA (Dougherty)",,,
http://aaphc.org/services/behavioral-health/meet-our-providers,"Koopal, William, PA-C","Behavioral Health & Family Medicine Lee Health Center Leesburg, GA (Lee) Read more ...",,"Leesburg, GA (Lee)",,,
http://aaphc.org/services/behavioral-health/meet-our-providers,"Lockwood, Rebecca, Ph.D.","Behavioral Health AAPHC Renaissance Center Albany, GA (Dougherty) Read more ...",,"Albany, GA (Dougherty)",,,
http://aaphc.org/services/behavioral-health/meet-our-providers,"Metheny, David R., ARNP-bc","Behavioral Health AAPHC Renaissance Center Albany, GA (Dougherty) Dawson Medical Center Dawson, GA (Terrell) Read more ...",,"Dawson, GA (Terrell)",,,
http://aaphc.org/services/behavioral-health/meet-our-providers,"Robinson, Denise, LCSW","Psychiatry Lee Health Center Leesburg, GA (Lee) Read more ...",,"Leesburg, GA (Lee)",,,
http://aaphc.org/services/behavioral-health/meet-our-providers,"Sutton, Tanza, LPC","Behavioral Health AAPHC Renaissance Center Albany, GA (Dougherty) Read more ...",,"Albany, GA (Dougherty)",,,
http://aaphc.org/services/behavioral-health/meet-our-providers,"White, Monica LCSW","Behavioral Health AAPHC Renaissance Center Albany, GA (Dougherty) Read more ...",,"Albany, GA (Dougherty)",,,
http://aaphc.org/services/behavioral-health/meet-our-providers,"Williams, Tameika LPC","Behavioral Health AAPHC Renaissance Center Albany, GA (Dougherty) Read more ...",,"Albany, GA (Dougherty)",,,
https://aarishadental.com/staff/,Dr. Jolly Shah,"Dr. Jolly Shah moved to California in 1992, and earned her Doctorate in Dental Surgery (D.D.S) from University of the Pacific's Arthur D. Dugoni School of Dentistry, San Francisco and also holds a Bachelors & Masters of Dental Surgery from Govt. Dental Collage, India. She has practiced dentistry in the Bay Area since 1997, with the inception of Aarisha Dental, her private practice, in 2001.",,,"Doctorate in Dental Surgery (D.D.S) from University of the Pacific's Arthur D. Dugoni School of Dentistry, San Francisco; Bachelors & Masters of Dental Surgery from Govt. Dental Collage, India.","Practiced dentistry in the Bay Area since 1997, with the inception of Aarisha Dental in 2001.",
https://aarishadental.com/staff/,Dr. Rachna Pall,"Dr. Rachna Pall, a graduate with a doctorate in dental surgery from SDM College Dharwad, India, holds the distinction of being a college gold medallist. Since her arrival in the Bay Area in 2001 and successfully clearing her board exams, dentistry has been her passion and profession. With years of dedicated practice, Dr. Pall established her own successful dental practice, where she implemented conservative dentistry principles and went above and beyond for her patients.",,,"Doctorate in dental surgery from SDM College Dharwad, India.",Established her own successful dental practice since her arrival in the Bay Area in 2001.,
https://aarishadental.com/staff/,Dr. Jegatri Thayaparan (Dr. T),"Dr. T graduated from Boston University School of Dental Medicine and prior to that, also attended dental school in India. With almost 20 years of diverse dental experience, she takes pride in building relationships with her patients and is passionate about patient care.",,,Graduated from Boston University School of Dental Medicine; attended dental school in India.,Almost 20 years of diverse dental experience.,
https://aarishadental.com/staff/,Dr. Komal Hirpara,"Dr. Komal Hirpara earned her DDS at the Loma Linda School of Dentistry, Master’s in Public Health from University of Northern Texas and holds a Bachelors of College of Dental Sciences and Research Center, India.",,,"DDS at the Loma Linda School of Dentistry; Master’s in Public Health from University of Northern Texas; Bachelors of College of Dental Sciences and Research Center, India.",,
https://aarishadental.com/staff/,Dr. Jayati Shah,"Dr. Jayati Shah earned her Doctorate in Dental Surgery (D.D.S) from the University of Pacific, Arthur A. Dugoni School of Dentistry, San Francisco, and also holds a Bachelor of Dental Surgery (BDS) from Gujarat, India & Master of Dental Surgery (MDS) in Periodontology from Nair Hospital Dental College, Mumbai, India.",,,"Doctorate in Dental Surgery (D.D.S) from the University of Pacific, Arthur A. Dugoni School of Dentistry, San Francisco; Bachelor of Dental Surgery (BDS) from Gujarat, India; Master of Dental Surgery (MDS) in Periodontology from Nair Hospital Dental College, Mumbai, India.",,
https://aarishadental.com/staff/,Dr. Jung Hsieh (Dr. Shay),"Dr. Shay studied biochemistry at UC, San Diego. During his undergraduate years, he was determined to pursue dentistry and became an active participant in the local pre-dental society. He went on to obtain his D.D.S degree from UC San Francisco.",,,"Studied biochemistry at UC, San Diego; obtained his D.D.S degree from UC San Francisco.",,
https://aarishadental.com/staff/,Dr. Logesh Sway,"Dr. Logesh Sway, Periodontist graduated from dental school in 2003. He continued his education with Masters in Public Health and advanced training in periodontics (gum disease), implants and sedation dentistry from the University of Illinois at Chicago.",,,"Graduated from dental school in 2003; Masters in Public Health and advanced training in periodontics, implants and sedation dentistry from the University of Illinois at Chicago.",,
https://aarishadental.com/staff/,Dr. Chaya Kamath,Dr. Chaya Kamath earned her dental degree from NYU College of Dentistry graduating with honors in Orthodontics. She then completed her Advanced Education in General Dentistry from the University of Maryland and her Orthodontic Certificate from Howard University in Washington DC.,,,Dental degree from NYU College of Dentistry; Advanced Education in General Dentistry from the University of Maryland; Orthodontic Certificate from Howard University in Washington DC.,,
https://aarishadental.com/staff/,Dr. Puja Patel,"Dr. Puja Patel was born in India and grew up in Tampa, Florida. She obtained her dental degree from the University of California, Los Angeles, and pursued additional clinical training in a General Practice Residency at the Philadelphia VA Medical Center in Pennsylvania. Dr. Patel practiced general dentistry for four years on the East Coast before pursuing orthodontic specialty training at the Oregon Health and Science University in Portland, Oregon.",,"Tampa, Florida","Dental degree from the University of California, Los Angeles; clinical training in a General Practice Residency at the Philadelphia VA Medical Center in Pennsylvania; orthodontic specialty training at the Oregon Health and Science University in Portland, Oregon.",Practiced general dentistry for four years on the East Coast.,
http://aaronslavsky.com/page/meet-the-doctor,Aaron E Slavsky DDS,"A Colorado native, Dr. Slavsky is committed to making strong patient connections and making them feel like family. He believes in empowering his patients through patient education and recommendations so that they can make informed decisions on their oral health. Outside of dentistry, Dr. Slavsky enjoys spending his free time with his family, skiing at Mary Jane, cheering on the Denver Nuggets, golfing, enjoying the beauty in the foothills, and sipping an occasional microbrew!",,"Lakewood, CO",,,
http://abbottdentistry.com/our-practice/meet-the-doctors/,"Roya S. Abbott, DMD","Dentist, Dr. Roya Abbott is dedicated to general dentistry such as Exams, Teeth Whitening, Veneers, Makeovers and more.",,"Hudson, Massachusetts",,,
http://abbottdentistry.com/our-practice/meet-the-doctors/,"Sharam S. Abbott, DMD",,,,,,
https://abckidsdentalla.com/meet-our-doctor.php,Dr. Nick Ghazaryan,"(Founder & President of ABC Kids Dental Group) Dr. Nick grew up in a small town in Armenia and he achieved his dental degree in Yerevan, Armenia. Dr Nick moved to the U.S in 1998, where he continued his education in dentistry and obtained his dental license in 2005.",,small town in Armenia,"Dental degree in Yerevan, Armenia",Obtained dental license in 2005,
https://abckidsdentalla.com/meet-our-doctor.php,Dr. Ariga Garagousian,"(Associate Dentist) Dr. Ariga grew up in Southern California. After attending University of Southern California, She completed her dental degree at Western University of Health Sciences College of Dental Medicine in Pomona, CA.",,Southern California,"University of Southern California, Western University of Health Sciences College of Dental Medicine in Pomona, CA",,
https://abckidsdentalla.com/meet-our-doctor.php,Dr. Nataliya Chernis,"(Associate Dentist) Dr. Nataliya Chernis completed her undergraduate studies at the University of California, Los Angeles and went on to receive her dental training at the University of California, San Francisco. Dr. Chernis is constantly striving to learn and regularly attends continuing education classes.",,,"Undergraduate studies at the University of California, Los Angeles, Dental training at the University of California, San Francisco",Regularly attends continuing education classes,
https://abckidsdentalla.com/meet-our-doctor.php,Dr. Olga Yepes,"(Associate Dentist) Dr. Olga Yepes was born and raised in Colombia. After attaining her dental degree at the Colombia School of Dentistry in Bogota, she moved to the U.S where she continued her education in Dentistry.",,Colombia,Dental degree at the Colombia School of Dentistry in Bogota,,
https://abckidsdentalla.com/meet-our-doctor.php,Dr. Mariam K,"(Associate Dentist) Dr. Mariam Khachatrian grew up in Yerevan, Armenia. After completing high school, she relocated to Southern California to pursue higher education at the University of California, Los Angeles.",,"Yerevan, Armenia","University of California, Los Angeles",,
https://abckidsdentalla.com/meet-our-doctor.php,"Dr. Justin Angeles(DMD, DDS)","(Associate Dentist) I'm a general dentist who enjoys working with both kids and adults, with a special focus on helping patients overcome dental anxiety and feel comfortable in the chair.",,,,,
https://abckidsdentalla.com/meet-our-doctor.php,Dr. Mike,"(Associate Dentist) Dr. Mike is a general dentist from Miami, Florida who focuses on caring for children. He graduated from the USC Herman Ostrow School of Dentistry in Los Angeles.",,"Miami, Florida",USC Herman Ostrow School of Dentistry in Los Angeles,,
https://abckidsdentalla.com/meet-our-doctor.php,Dr. Chang,"(Associate Dentist) Originally from Taiwan, Dr. Chang grew up in Canada and went to college at University of California, Berkeley and Dental school at New York University, College of dentistry. He completed a General practice residency at Mount Sinai Hospital and Oral Surgery internship there as well. His has a wide range of skillset tailored fit for your children. From managing complex cases to simple treatments, Dr Chang is not only efficient but also meticulous.",,Taiwan,"College at University of California, Berkeley, Dental school at New York University, College of dentistry",Completed General practice residency at Mount Sinai Hospital and Oral Surgery internship,
https://abckidsdentalla.com/meet-our-doctor.php,Dr. Vince,(Associate Dentist) Dr. Vince grew up in the Midwest and moved to California four years ago. He completed his schooling at the University of Iowa. He is a general dentist who has primarily worked with kids for the past 11 years. He believes honest communication is key to helping patients. In his spare time he enjoys hiking and going to the movies.,,Midwest,University of Iowa,Primarily worked with kids for the past 11 years,
https://www.abdoneyperiodontics.com/meet-dr-mark-abdoney,Dr. Mark Abdoney,"Born and raised in Tampa, Dr. Abdoney, also know as Mark is a third-generation dentist , having followed his grandfather, father, and mother into the field. He is dedicated to providing specialty periodontal care with an emphasis on personal attention, compassion, and excellent results. Dr. Abdoney is a graduate of the University of Florida , where he received a Bachelor of Science in 1992 and his Doctorate of Dental Medicine in 1996. He completed his periodontal residency at Nova Southeastern University in 2000. That same year, he received the Award of Periodontal Excellence from the NSU Department of Periodontics. Since graduating, Dr. Abdoney has been actively involved in the field of dentistry. He has served as president of the Florida Association of Periodontists and the Hillsborough County Dental Research Clinic, and has been on the board of the Hillsborough County Periodontal Association, the Florida Association of Periodontists, and the Southern Academy of Periodontology. He is an active member of the prestigious American College of Dentistry , the International College of Dentistry , and the Spear Institute . Along with these organizations, Dr. Abdoney has maintained a close association with the University of Florida as a current Associate Clinical Professor and works frequently with their Department of Pathology regarding a majority of patient biopsies. He is also a member of the Rotary Club, consistent with his hope of improving the health and education of not only his own patients but the community at large. Outside of his practice, Dr. Abdoney enjoys spending time with his four beautiful daughters and extended family. Growing up as a Boy Scout and in the outdoors in general, he is an avid outdoorsman. He loves to fish, dive, hunt, camp, hike, and surf. Earning a degree in zoology from the University of Florida, Dr. Abdoney takes particular interest in the many habitats and ecosystems the great state of Florida has to offer, as well as land management, animal husbandry, and agriculture. He also enjoys training in MMA and jiu-jitsu.",,Tampa,"University of Florida , Bachelor of Science in 1992, Doctorate of Dental Medicine in 1996; Nova Southeastern University, periodontal residency in 2000","Third-generation dentist; former president of the Florida Association of Periodontists and the Hillsborough County Dental Research Clinic; board member of the Hillsborough County Periodontal Association, the Florida Association of Periodontists, and the Southern Academy of Periodontology; Associate Clinical Professor at the University of Florida; active member of the American College of Dentistry, the International College of Dentistry, and the Spear Institute.",
https://abel-dental-care-1412355029.webdirector.com/our-practice-meet-the-team,,,,,,,
https://www.abrightersmiledentalcare.com/meet-the-doctors,"Michael R. Wiesner, DDS","Dr. Wiesner is the founder and CEO of A Brighter Smile Dental Care. He has more than 4,000 personal patients that come from 11 different states, some of which include Virginia, North Dakota, and Minnesota. His practice has received the Top Dentist Award from the prestigious Locals Love Us brand four years in a row. Dr. Wiesner donates many hours to local community events and has appeared on KTBS, KSLA, and Fox News. Among the charity events, he has hosted are Dentistry from the Heart, a day that offers free dental care to the community, and Free from Plaque for Veterans. The Free From Plaque Campaign, which offers free cleanings to veterans on Veteran’s Day, is a personal cause of Dr. Wiesner’s since he himself is a veteran of the United States Armed Forces: He has been stationed in Little Rock, Arkansas, and even England. He graduated from Louisiana State University of Shreveport with a degree in biochemistry and furthered his education at Louisiana State University’s School of Dentistry where he received his Doctorate of Dental Surgery. Post-graduation, Dr. Wiesner continues to enhance his dental portfolio by taking extra courses in dental implantology and IV sedation (a method that allows patients to receive extensive dental work while being in a complete state of relaxation or asleep .) Dr. Wiesner maintains an active membership with the American Dental Implant Association and the American Academy of Facial Esthetics . Collectively, he and his team have more than 75 years of experience in the dental field.",,,Graduated from Louisiana State University of Shreveport with a degree in biochemistry and Louisiana State University’s School of Dentistry where he received his Doctorate of Dental Surgery.,"Collectively, he and his team have more than 75 years of experience in the dental field.",
https://www.abrightersmiledentalcare.com/meet-the-doctors,"Thuy V. Wiesner, DDS","Dr. Thuy, General Family Dentist, is the co-founder and co-CEO of A Brighter Smile Dental Care. A Brighter Smile Dental Care has seen more than 11,000 patients since Dr. Thuy helped establish it in 2007. The practice has been featured in the Shreveport Times , and patients have come from as far as California, Utah, and Illinois to have work performed by Dr. Thuy. Her role in the practice’s orthodontic care won her Premier Provider for Invisalign® status in 2016. Dr. Thuy is an active contributor to local charities. Some of the charity campaigns she has been an instrumental part of are: the Shreveport Holy Angels Run for individuals with intellectual and developmental disabilities, Pay it Forward, and St. Jude’s Fight Against Childhood Cancer. She is an advocate for helping underprivileged children, and collects toys at A Brighter Smile Dental Care every holiday season for the local homeless shelter’s children. Dr. Thuy graduated from the University of New Orleans with her degree in biological sciences, as well as Louisiana State University’s School of Dentistry with her Doctorate of Dental Surgery. She is a member of the International Association for Orthodontics. Her desire to provide the highest quality of care for her patients is evident in her ongoing education and completion of additional education courses in sleep apnea and orthodontics. Dr. Thuy is certified by the American Academy of Facial Esthetics . Dr. Wiesner and Dr. Thuy are happily married with two beautiful children. Together, they work side by side to provide excellent dental care to their patients in the Shreveport-Bossier area.",,,"Graduated from the University of New Orleans with her degree in biological sciences, as well as Louisiana State University’s School of Dentistry with her Doctorate of Dental Surgery.",,
https://www.abrightersmiledentalcare.com/meet-the-doctors,"Kelly Milstead, DDS","Dr. Milstead was born and raised in Shreveport. She completed her high school education at Caddo Magnet High School where she graduated with honors and proceeded to Louisiana State University Shreveport to work on her degree in biological sciences. With hard work, dedication, and a passion to pursue a career in dentist ry, she received early acceptance into dental school at Louisiana State University School of Dentistry in New Orleans where she received her Doctorate of Dental Surgery. Following graduation, she practiced in the New Orleans area for four years before returning to Shreveport to be closer to family and continue to care for patients in her hometown. Dr. Milstead has experience in treating patients of all ages, including children, and she is dedicated to providing them with high-quality dental care. She believes in giving them the most comfortable and gentle dental experience possible, and she feels that trust, comfort, communication, and compassion are the keys to a great doctor-patient relationship. Dr. Milstead has received several awards in prosthodontics and operative dentistry as well as the International College of Dentists Leadership Award. She has volunteered with Give Kids a Smile, participated in providing care on free treatment days in the Shreveport community, and traveled with a local church to provide free dental services in Mexico. She is currently a member of the American Dental Association , the Louisiana Dental Association , and the Northwest Louisiana Dental Association. When she’s not in the office, Dr. Milstead enjoys spending time with her eight horses, three dogs, and six cats. Dr. Milstead also loves traveling and attending LSU football games. Dr. Dr. Milstead is excited to be a part of A Brighter Smile Dental Care and looks forward to helping you take care of your smile!",,Shreveport,Graduated with honors from Caddo Magnet High School and proceeded to Louisiana State University Shreveport to work on her degree in biological sciences. She received early acceptance into dental school at Louisiana State University School of Dentistry in New Orleans where she received her Doctorate of Dental Surgery.,"Dr. Milstead has experience in treating patients of all ages, including children.",
https://www.abrightersmiledentalcare.com/meet-the-doctors,"Katia Hernandez, DMD","Dr. Hernandez was born in Havana, Cuba, and emigrated to Canada at age 12. Five years later she emigrated again to Miami, Florida where she finished High School. Given her international upbringing, she is also fluent in Spanish and French. Dr. Hernandez attended Florida International University and graduated with Honors with a Bachelor of Biological Sciences degree and a minor in Psychology. Her empathetic nature made her gravitate toward the medical field from an early age and decided to become a dentist where she could use her knowledge, skills, and training to help others improve their health and quality of life. Dr. Hernandez attended the University of Florida College of Dentistry where she obtained her Doctorate in Dental Medicine. Her artistic skills and passion for teaching other dental students led her to be a teacher assistant for Aesthetic Dentistry and Prosthodontics courses. She was also the president of the Hispanic Student Dental Association and coordinated an extracurricular clinic for underserved communities and migrant workers while in dental school. Upon graduation, Dr. Hernandez was awarded an American Prosthodontic Society Student Award of Merit and the American Association of Endodontics Student Award of Merit. Dr. Hernandez’s passion for uplifting and inspiring her patients to achieve a harmonious healthy smile is what drives her professional interests, which are centered on restorative sciences and include the fields of endodontics, prosthodontics, oral surgery, and implantology. Dr. Hernandez enjoys spending time with her Siberian Husky Piper, drawing, weight-lifting, and loves to read all kinds of books especially those recommended by her patients.",,,Graduated from Florida International University with Honors with a Bachelor of Biological Sciences degree and a minor in Psychology. Attended the University of Florida College of Dentistry where she obtained her Doctorate in Dental Medicine.,,
